index,Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region,Selected_region
426,Enate,2019,1154856,Cabernet Sauvignon - Merlot 2019,3.9,39,6.45,España,Somontano,other
427,Viña Zorzal,2019,1205173,Garnacha 2019,3.6,1030,6.45,España,Navarra,other
428,Bruma del Estrecho,2018,4309569,Paraje Marín 2018,3.6,62,6.45,España,Jumilla,other
429,Martúe,2018,1172697,Campo de la Guardia 2018,3.8,81,6.45,España,Campo de la Guardia,other
430,Bodegas La Soterraña,2018,7287564,Etcétera Tempranillo 2018,3.2,106,6.45,España,Ribera del Duero,Ribera del Duero
431,Celler Piñol,2018,77807,Raig de Raïm Negre 2018,3.5,96,6.46,España,Terra Alta,Catalunya Sul
432,Viñas del Vero,2012,1599976,Tempranillo - Cabernet Sauvignon Crianza 2012,3.3,461,6.47,España,Somontano,other
433,Marqués de la Concordia,2015,1153105,Crianza Rioja 2015,3.7,763,6.47,España,Rioja,Rioja
434,Crapula,2013,1661018,NdQ Nacido del Quórum Selección 2013,3.4,32,6.48,España,Jumilla,other
435,Rejadorada,2019,1175204,Tinto Roble 2019,3.7,136,6.49,España,Toro,other
436,Evodia,2019,1230965,Old Vines Garnacha 2019,3.5,285,6.49,España,Calatayud,other
437,Bodega Sommos,2020,9902730,Merlot - Cabernet Roble 2020,3.7,196,6.5,España,Somontano,other
438,Domeco de Jarauta,2018,1197384,Lar de Sotomayor Rioja 2018,3.8,30,6.5,España,Rioja,Rioja
439,Volver,2019,1542510,Paso a Paso Organic Red 2019,3.5,42,6.5,España,La Mancha,other
440,Luna Beberide,2019,1169128,M Mencía Bierzo LB 2019,3.5,576,6.5,España,Bierzo,other
441,EGO,2019,1726782,Talento Ecológico 2019,3.8,155,6.5,España,Jumilla,other
442,Volver,2018,1170617,Paso a Paso Tempranillo 2018,3.5,258,6.5,España,Castilla,other
443,Félix Solís,2014,1967189,Viña Albali Gran Reserva Selección Privada 2014,3.6,127,6.5,España,Valdepeñas,other
444,Bodegas Virgen de la Sierra,2018,3975385,Albada Viñas Viejas Garnacha 2018,3.7,267,6.5,España,Calatayud,other
445,Finca Constancia,2016,2033280,Parcela 12 Graciano 2016,3.8,205,6.5,España,Castilla,other
446,Condado de Oriza,2020,1609207,Roble Ribera del Duero 2020,3.6,159,6.5,España,Ribera del Duero,Ribera del Duero
447,Castaño,2018,2686164,GSM (Garnacha - Syrah - Monastrell) 2018,3.4,98,6.5,España,Yecla,other
448,Muriel,2018,1135538,Fincas de la Villa Rioja Crianza 2018,3.7,159,6.5,España,Rioja,Rioja
449,Volver,2020,1170617,Paso a Paso Tempranillo 2020,3.6,37,6.5,España,Castilla,other
450,Bodegas Care,2019,7472718,Tinto Sobre Lías Garnacha - Syrah 2019,3.9,1460,6.5,España,Cariñena,Catalunya Sul
451,Dominio de Calles,2016,1565839,Crianza 2016,3.8,317,6.5,España,Valencia,other
452,Bodegas Care,2017,1369510,Crianza Tempranillo - Merlot 2017,3.9,465,6.5,España,Cariñena,Catalunya Sul
453,Finca Los Aljibes,2018,3015320,Viña Aljibes Red Blend 2018,3.6,46,6.5,España,Castilla,other
454,De Moya,2018,2766217,Justina 2018,3.9,372,6.5,España,Valencia,other
455,Arché Pagès,2018,1314194,Sàtirs Negre 2018,3.8,108,6.5,España,Empordà,other
456,Pago de la Jaraba,2016,2490463,Azagador Reserva Tinto 2016,3.6,30,6.5,España,La Mancha,other
457,Marques de Vitoria,2018,1488465,Rioja Crianza 2018,3.6,153,6.5,España,Rioja,Rioja
458,Enate,2018,1154856,Cabernet Sauvignon - Merlot 2018,3.7,812,6.5,España,Somontano,other
459,Habla,2020,1978855,de La Tierra 2020,3.6,119,6.5,España,Extremadura,other
460,Sierra Cantabria,2020,1986382,Murmurón 2020,3.5,40,6.55,España,Rioja,Rioja
461,Bodegas Príncipe de Viana,2016,1210158,Reserva Navarra 2016,3.8,59,6.55,España,Navarra,other
462,Dominio de Tares,2017,1896149,Baltos Mencía 2017,3.7,437,6.55,España,Bierzo,other
